Node,WIC
0,1.8507
1,6.1202
2,30.4094
3,53.2482
4,20.9683
5,45.5972
6,48.8073
7,6.2283
22,98.6612
139,64.6517
67,71.6836
86,3.3382
877,14.0228
878,8.4875
520,52.2295
11,50.5993
575,36.2057
919,6.5298
920,6.2136
921,9.1909
1090,5.576
694,3.8802
583,39.283
609,12.6929
601,7.8591
162,158.5952
1091,7.9449
1092,1.9273
1093,3.6469
1094,2.6312
813,48.8186
1095,2.3247
71,114.4458
1096,1.7778
1077,3.4406
1097,2.1697
288,79.3802
1098,2.3432
1099,4.3985
1100,1.6751
218,45.6205
1101,2.7912
1102,2.7146
1103,1.6875
275,51.8691
152,3.5422
706,51.4567
623,46.7908
416,77.7819
911,9.5337
41,14.4036
918,5.0714
94,11.099
1061,1.8806
519,32.2277
10,55.7064
1062,5.0212
1063,11.3308
1064,4.0004
274,56.6807
31,67.0801
1065,1.7306
673,7.2642
1066,1.9413
1067,2.5394
693,3.3405
42,4.6388
908,8.518
1068,2.6299
1069,1.8521
1070,2.1757
1071,1.7992
1072,3.3225
55,3.4066
68,3.4156
678,3.0714
1073,1.7896
824,22.8662
75,15.2952
1074,3.2952
1075,1.7213
892,5.537
1076,2.666
830,23.7668
36,5.7414
1004,5.4315
1078,2.9332
1079,1.6885
1080,6.0089
1081,1.7343
1082,1.748
902,5.7572
1083,2.7792
1084,4.0568
983,2.4972
1085,3.3727
1086,2.4525
1087,1.7699
1088,2.4818
1089,1.9348
840,64.0746
17,79.7445
49,64.828
149,6.9227
58,27.0298
13,39.5063
690,10.6673
1383,4.1066
61,6.9126
1043,3.7394
867,3.9144
2099,1.966
2100,1.8053
981,3.4403
2101,3.3521
2102,1.8013
2103,1.7606
810,25.7163
2104,3.4278
2105,1.8693
2106,1.7292
9,91.7005
135,9.5884
62,61.6373
724,11.8177
112,67.0396
545,26.0684
246,62.1782
57,96.3653
165,145.1536
521,72.5903
1268,5.3422
417,25.6112
53,16.0787
871,5.1413
605,7.3932
616,23.1559
994,5.0545
998,10.0633
76,15.025
671,21.849
2021,11.7661
2874,2.6064
999,3.0504
978,5.3244
2040,4.6924
1024,11.0889
2875,1.6659
677,4.7088
992,4.0415
670,6.7865
2632,4.0494
2876,1.7186
2857,3.6136
119,20.5977
2877,1.5626
705,3.894
25,2.7555
2541,4.9132
986,2.3124
2878,2.0721
717,4.9449
2879,4.4636
991,6.9712
2880,2.0343
2528,2.4233
2881,2.2798
2882,2.6354
2883,1.9181
2884,1.6707
1284,11.6895
1169,37.8796
541,70.2809
1037,46.755
836,37.6996
191,91.4152
592,19.5251
181,72.2064
180,129.2657
523,72.5618
548,69.9146
765,55.5709
172,72.506
175,185.5167
478,70.1617
537,77.7897
664,19.2988
932,38.6823
176,49.8353
1404,35.9697
1217,61.0972
937,48.681
1590,11.0204
1323,14.0524
469,7.3313
928,35.0723
1296,15.6562
1914,4.8951
2688,10.7243
1713,10.3427
573,38.6721
318,48.7792
179,66.3293
1145,33.5686
484,67.3601
457,11.2677
3829,2.6469
2323,2.167
3831,1.6175
1587,3.9516
1589,3.989
3832,1.7387
3020,5.2522
1997,2.7955
3833,1.5001
1637,9.5572
1137,24.1837
969,5.5872
3145,3.3349
3834,1.8115
3835,1.6051
2663,4.643
3836,1.5878
1494,6.3432
3837,2.3689
2582,3.8878
3230,2.9346
3838,1.5801
1508,5.7925
1430,2.7161
740,22.2588
284,47.4749
1026,41.5112
1178,33.1436
518,57.2005
876,8.4963
1978,4.353
2143,3.7171
4180,1.8491
8,1.7658
12,68.7289
14,39.1867
15,61.7481
16,44.4059
18,24.2258
19,4.5878
20,6.6602
21,14.0472
23,9.9598
24,2.484
26,9.1582
27,3.7921
28,1.6629
29,5.9496
30,2.2275
32,2.848
33,3.7398
34,4.8632
35,5.9335
37,2.2517
38,5.9538
39,15.4262
40,3.0835
43,8.3672
44,1.8729
45,3.9591
46,3.4669
47,7.2678
48,1.8072
50,7.3656
51,37.1582
52,5.4783
54,1.5803
56,34.5066
59,2.4349
60,2.8721
63,1.4987
64,2.4595
65,1.6819
66,7.2022
69,16.3582
70,5.0051
72,1.6105
73,3.5024
74,1.7063
77,5.5252
78,1.7333
79,1.7771
80,2.65
81,3.0041
82,8.9791
83,14.1139
84,1.7311
85,1.7491
87,1.8074
88,1.6432
89,1.5039
90,1.6725
91,1.5669
92,3.5739
93,8.0784
95,3.4766
96,2.6635
97,4.6802
98,2.5259
99,1.8416
100,45.6815
101,52.4078
102,9.1942
103,36.4575
104,22.9277
105,69.134
106,10.1898
107,37.4003
108,29.9853
109,33.0795
110,20.1425
111,43.6757
113,55.5297
114,46.2353
115,37.3975
116,10.3136
117,57.2174
118,31.4824
120,60.4541
121,42.4612
122,81.144
123,23.3866
124,33.5503
125,1.6218
126,34.6105
127,56.6226
129,62.9115
131,53.4738
147,5.6977
156,9.5224
158,37.0274
686,18.5232
914,9.104
915,2.3256
669,9.0292
1258,4.3355
1262,20.0444
704,25.5709
1263,11.7678
577,11.3976
676,8.7356
870,9.9804
837,8.1764
1264,2.415
607,3.916
163,96.1973
164,67.965
1265,4.1798
1266,2.3743
614,11.1158
990,26.2577
580,28.6114
1267,4.1511
795,14.1811
907,2.3664
620,18.7142
995,7.972
1269,2.5528
894,5.477
1270,1.7329
904,5.9847
1271,1.4521
1272,1.8378
1273,1.7615
619,34.626
166,100.4054
169,59.0199
554,53.8866
967,41.5777
459,58.1174
374,53.2508
225,56.3519
215,74.6447
360,68.2996
364,44.9169
311,47.9475
141,10.4501
143,3.9428
144,37.463
829,8.2099
901,5.0147
888,14.9466
891,9.1128
903,4.3541
682,12.1611
873,8.3369
905,3.514
906,2.1584
674,4.5927
696,3.0989
909,2.3161
896,5.0811
910,4.6389
691,7.1094
831,15.3487
858,8.4449
885,6.93
856,16.88
899,15.4048
863,34.5564
900,24.7922
812,4.9108
134,66.2455
137,82.3698
138,93.1914
419,102.4864
200,81.8607
194,128.1595
182,101.7645
2095,2.4266
173,91.3325
476,14.4611
556,24.0053
228,81.0536
745,79.7411
611,6.4092
222,77.6043
264,64.3368
332,88.1359
263,60.0649
395,41.1842
1863,8.0625
378,53.9991
224,27.0213
1653,25.3659
527,94.5214
1502,13.3938
1031,56.7708
270,78.8885
1220,18.4904
790,48.9675
2182,8.2799
1347,19.4955
954,31.3436
735,10.1851
1934,10.8466
1022,24.8971
2191,8.8149
2521,4.5983
2019,11.018
1038,12.5408
884,12.3976
1716,13.566
1943,3.4413
1214,13.4648
2210,8.0069
976,8.9203
667,16.8564
2443,4.0216
1005,3.4557
2120,5.691
1015,10.0366
553,25.0106
644,14.5682
646,6.2306
2544,5.2397
2545,3.9101
1802,12.9194
414,74.8116
496,42.5204
1034,3.3764
1035,32.5936
1036,11.4317
1039,5.1571
1040,7.5287
640,58.1393
522,43.6582
1041,1.663
1042,4.2298
1044,5.1018
838,11.5112
859,5.4665
845,10.1674
1045,8.5018
738,23.5768
1046,3.5454
652,39.7813
128,30.807
136,10.2193
525,27.0029
797,4.1698
2724,2.9581
2029,3.936
979,6.9557
2725,1.9149
728,7.9728
2726,5.9365
1981,4.4497
2043,4.3535
2068,5.5732
2727,2.5887
2184,8.6348
2728,1.9439
854,21.9137
2729,1.7124
2730,1.7005
1009,2.9582
2731,1.6324
2058,4.7295
680,3.0032
2047,3.8182
2031,7.2825
133,3.3177
913,11.5236
279,74.7058
1171,7.0572
1722,4.815
2018,3.1058
2020,4.1982
452,15.2271
709,22.0585
2022,2.0129
2023,3.7313
2024,6.0483
666,13.7809
612,45.9424
627,43.1814
604,9.7626
729,5.8139
2025,5.1836
2026,2.5672
2027,4.6731
2028,4.4304
2011,10.2895
720,3.6627
2030,6.1967
552,41.1762
161,68.5269
737,4.4415
621,15.0211
661,5.9046
699,2.4407
864,9.2867
641,30.4651
586,8.9133
832,4.7664
2224,3.0039
581,3.7442
272,96.3116
477,9.9516
766,14.1399
761,22.0349
2225,2.4305
2202,7.3772
475,8.7463
660,16.9646
2226,1.7953
736,6.7218
2227,1.4804
624,37.2445
195,52.2161
675,5.459
198,68.0808
763,76.2542
606,15.3043
431,63.0092
532,6.3236
1160,18.6747
433,17.304
