Node,WIC
0,18.5602
1,16.4344
2,24.5003
3,14.7453
4,7.4288
5,14.2044
6,17.3516
7,6.1398
8,11.3818
9,20.8623
10,14.0139
11,12.0267
12,17.1247
13,23.3489
14,13.0427
15,29.8069
16,6.0408
17,12.6123
18,18.5415
19,12.2821
20,28.3542
21,10.5894
22,32.346
23,27.17
24,13.9372
25,2.8762
26,15.2301
27,8.9396
28,6.7237
29,17.4927
30,15.249
31,2.7208
32,6.1836
33,13.3477
34,1.5615
35,1.6595
36,1.6836
37,16.9148
38,17.7293
39,18.1725
40,31.4001
41,30.5244
42,7.4864
43,11.8727
44,20.5922
45,22.8147
46,5.4295
47,5.3044
48,24.3592
49,16.9539
50,15.6151
51,25.0126
52,2.3596
53,21.0708
54,10.4371
55,21.341
56,18.0995
57,22.7993
58,12.7036
59,2.9651
60,7.6334
61,16.6421
62,7.4118
63,11.6254
64,12.5534
65,9.9933
66,10.9376
67,11.5659
68,19.8426
69,16.7448
70,9.4413
71,24.8925
72,15.3564
73,15.1517
74,8.9559
75,27.9053
76,6.3282
77,8.8518
78,9.1717
79,18.126
80,16.5291
81,16.4037
82,4.7064
83,9.8124
84,13.4047
85,8.4076
86,4.9436
87,8.3405
88,6.5748
89,14.9067
90,9.6796
91,10.8951
92,13.4027
93,17.0659
94,4.3464
95,5.7841
96,2.399
97,4.8916
98,4.4818
99,3.3139
100,9.9581
101,3.0198
102,5.1928
103,10.6962
104,40.9775
105,21.7254
106,11.4594
107,5.7226
108,2.2538
109,7.2994
110,1.5782
111,13.3768
112,9.6063
113,4.6061
114,9.889
115,24.302
116,11.1765
117,7.5617
118,6.5438
119,20.2461
120,8.3887
121,10.0485
122,2.8136
123,11.4937
124,8.2293
125,2.9737
126,9.9855
127,22.8401
128,5.179
129,7.7474
130,14.9961
131,9.4293
132,10.2357
133,25.6269
134,27.418
135,11.3156
136,21.2409
137,3.5572
138,2.8497
139,21.2116
140,6.0777
141,14.3626
142,18.1202
143,6.5875
144,12.3203
145,16.3795
146,14.1316
147,8.3364
148,9.253
149,12.9142
150,2.3004
151,17.5239
152,8.8026
153,2.8915
154,13.0318
155,4.9944
156,9.2432
157,9.4393
158,2.6351
159,4.4289
160,6.8373
161,8.2445
162,7.8896
163,5.5411
164,8.7102
165,6.5184
166,6.126
167,10.3046
168,4.7747
169,4.4601
170,3.1775
171,4.8702
172,2.2313
173,4.1545
174,1.679
175,12.7888
176,3.0084
177,4.868
178,4.7015
179,2.4667
180,7.5028
181,20.5298
182,22.4016
183,7.4339
184,19.4456
185,11.069
186,6.7621
187,9.2795
188,11.2668
189,5.8506
190,9.4367
191,8.6232
192,12.7466
193,15.1076
194,5.5486
195,28.4711
196,9.7953
197,17.2752
198,11.0054
199,15.6412
200,17.4345
201,10.2741
202,10.8069
203,24.063
204,18.3121
205,17.3898
206,10.3147
207,8.2382
208,4.5273
209,16.0528
210,9.2756
211,16.9175
212,15.8556
213,14.4835
214,15.5229
215,12.4363
216,9.251
217,14.8113
218,19.0408
219,5.0457
220,8.4947
221,9.9424
222,5.4405
223,6.3698
224,3.0547
225,2.3139
226,11.6389
227,8.811
228,2.8287
229,10.4465
230,8.8991
231,2.1438
232,29.8152
233,5.7199
234,10.2643
235,2.1731
236,20.5137
237,12.5572
238,14.3594
239,11.9265
240,19.2777
241,3.702
242,18.2783
243,6.7379
244,8.2896
245,8.965
246,2.3879
247,10.2222
248,2.3862
249,8.093
250,10.0261
251,6.6692
252,1.7039
253,11.0359
254,13.0265
255,11.1886
256,8.8933
257,3.9267
258,12.0028
259,8.0218
260,1.6583
261,3.527
262,9.3324
263,4.6734
264,6.9673
265,3.7968
266,13.2011
267,16.4734
268,16.8897
269,12.4253
270,14.6565
271,2.9255
272,4.8201
273,16.3346
274,8.4829
275,9.6294
276,6.0931
277,8.0266
278,7.422
279,7.7338
280,2.3591
281,14.0318
282,3.1622
283,11.8262
284,6.1131
285,4.6196
286,16.5351
287,2.9084
288,12.1195
289,8.167
290,9.1846
291,2.3211
292,8.6407
293,1.5669
294,3.6235
295,5.0596
296,8.4392
297,5.8392
298,18.054
299,7.9563
300,5.1565
301,3.082
302,15.8052
303,3.3659
304,11.0705
305,10.1607
306,7.0994
307,14.8708
308,2.7914
309,4.3653
310,6.2086
311,8.961
312,14.4755
313,12.8848
314,6.9195
315,20.291
316,6.9961
317,1.658
318,2.3622
319,5.0725
320,13.8951
321,15.9723
322,7.7339
323,6.7241
324,7.3088
325,5.3325
326,15.0945
327,5.9291
328,15.5757
329,9.486
330,14.9267
331,23.2082
332,31.5039
333,10.8567
334,12.5169
335,8.9687
336,8.832
337,8.847
338,17.7946
339,12.6673
340,20.2116
341,2.372
342,4.1441
343,11.5571
344,2.5845
345,8.438
346,8.3569
347,5.3929
348,6.6786
349,6.7215
350,12.7055
351,9.8167
352,8.8557
353,25.0016
354,26.9819
355,20.4668
356,5.6813
357,12.6885
358,4.3647
359,4.0956
360,11.2312
361,11.807
362,7.8825
363,7.8946
364,7.0922
365,3.6276
366,20.6257
367,16.2067
368,8.7106
369,5.1258
370,9.6188
371,10.0879
372,7.5789
373,1.6687
374,4.3404
375,20.5267
376,8.534
377,24.9034
378,4.1784
379,6.1874
380,14.3786
381,10.9886
382,8.6913
383,14.6968
384,8.733
