Node,WIC
0,11.3556
1,9.9203
2,8.6127
3,16.3938
4,2.8908
5,6.4079
6,2.9432
7,14.5758
8,2.9668
9,15.8288
10,12.13
11,10.4449
12,14.612
13,13.1571
14,12.0911
15,12.4483
16,12.1163
17,11.5919
18,12.7625
19,11.592
20,11.4856
21,12.6646
22,19.1122
23,12.8763
24,12.5475
25,14.0628
26,59.3685
27,11.5495
28,12.3917
29,14.409
30,15.2732
31,8.3478
32,10.8595
33,6.4808
34,12.943
35,3.8191
36,2.8862
37,13.0598
38,12.278
39,12.819
40,11.4203
41,11.4898
42,17.5901
43,12.6508
44,83.6483
45,11.2379
46,18.8901
47,13.891
48,14.3985
49,15.9104
50,9.5992
51,21.5222
52,8.7585
53,3.8539
54,11.8845
55,20.8193
56,14.9617
57,15.4468
58,12.0834
59,12.8073
60,14.0544
61,14.529
62,31.2923
63,72.7077
64,65.8768
65,60.5991
66,82.1084
67,48.0529
68,59.1044
69,83.363
70,36.3597
71,57.4627
72,12.6381
73,12.4267
74,12.5011
75,12.7347
76,6.3305
77,11.3589
78,8.7398
79,2.7281
80,5.7526
81,5.6123
82,10.7495
83,4.7793
84,2.8698
85,19.4313
86,2.8476
87,2.7685
88,20.3991
192,23.2996
761,21.2742
551,15.7322
3846,20.1294
4348,3.8065
864,19.3821
951,3.7489
1125,16.5471
6472,1.9682
2541,7.5173
1885,15.4112
4173,15.5023
4579,5.6814
5066,3.8321
6224,3.044
3166,13.3168
4226,5.8039
5947,3.784
4175,7.7235
6243,5.9905
3252,12.203
1883,12.4029
3335,5.9273
2103,14.8367
2514,14.314
5289,7.3886
1099,13.978
5062,15.5469
4641,4.078
5314,5.963
5816,5.6696
1273,13.0144
5817,1.9677
2735,12.6511
1213,6.6591
1608,3.9915
2943,9.745
1033,19.1317
3597,7.3217
4216,4.9932
1430,7.4116
456,12.8983
912,13.6184
2068,11.7431
223,16.8344
3894,5.9465
3458,14.5818
2640,15.1897
1641,5.8857
2927,14.3913
6072,10.317
5369,4.6419
6526,2.7786
803,2.7817
1944,12.1497
3432,14.8316
2814,22.9459
5103,7.5326
3593,3.9985
2643,42.7202
5549,8.7153
2897,12.2417
4834,13.4294
7573,2.1165
3434,11.4028
3077,14.1613
2045,17.1266
2482,14.6494
4366,2.991
3192,13.5865
5909,3.8385
7783,2.9598
1773,11.5354
7784,1.9787
571,19.3419
349,13.2071
663,14.7312
5741,5.6844
7111,2.8866
4339,13.5192
4732,10.7516
6893,11.5101
7957,2.9464
6599,2.8301
7996,1.843
708,11.6472
3188,14.2376
5588,2.9123
2748,13.6298
6194,11.3722
3431,12.469
6971,3.9733
4039,10.7967
4152,11.917
2924,12.5188
695,11.6281
2642,10.3172
3807,9.736
542,15.1623
950,17.3412
2612,14.4065
3808,4.7167
1625,10.1579
3774,4.9209
2141,16.7789
2282,5.9434
687,15.3838
4920,3.6938
2104,13.4318
182,18.3608
5333,1.9725
5334,1.9887
4666,8.8536
5335,2.0088
2702,14.525
268,15.815
2540,13.1981
2542,3.8988
2543,10.2253
1257,17.2801
2544,3.8657
2545,6.6624
2546,3.6389
2547,5.8736
1844,14.0568
2548,14.5762
2549,12.584
1085,13.3451
2550,11.6509
148,51.3934
1927,7.7484
2419,5.8028
4283,2.8331
137,10.0442
6187,1.9096
3212,12.5503
6188,3.8964
6189,1.9352
3200,10.4582
2628,8.4491
2638,6.2579
2675,11.6233
2247,5.6948
2676,8.013
2677,3.7794
2678,11.571
2679,2.9214
2680,2.8859
2681,11.5801
2682,1.9701
1907,19.8808
2131,14.6802
4985,4.556
2307,18.8071
1219,18.2479
2855,16.3986
1830,13.3175
184,19.0386
2414,14.4389
2664,11.4214
2294,13.4104
4078,10.745
712,16.1114
539,14.2479
746,3.5913
992,10.3006
1321,22.197
1325,7.6316
1343,15.3465
2026,14.3131
1891,9.2804
336,20.3902
2562,10.2887
1921,18.6153
2915,12.8128
798,15.7999
3413,16.1402
1545,20.7346
782,13.2903
4314,5.7909
1798,16.5231
4720,11.6534
298,10.2077
454,14.5877
975,16.2448
3298,20.3425
896,19.2424
1166,18.1613
5602,16.5477
130,14.5572
4960,6.7314
1555,9.7709
2488,13.4482
4001,15.062
636,13.9679
5908,5.8565
1477,4.7666
1271,4.6899
2276,8.7464
2805,2.7033
2980,11.5809
365,15.5769
4425,10.6776
3204,12.1983
6018,4.0466
2557,12.7715
3865,14.5091
6003,5.0785
6689,6.0136
6785,2.9263
6786,1.7548
6787,1.9385
6788,2.8825
6789,3.7499
6790,1.862
5595,12.6193
431,10.4692
6791,2.182
6792,2.1272
472,11.3986
6793,1.8422
5499,3.2754
89,11.4576
90,5.6581
91,5.8409
92,10.2149
93,6.7736
94,7.9675
95,12.8629
96,17.0374
97,10.6146
98,10.8339
99,23.4485
100,8.7184
101,6.6164
102,17.0925
103,4.9812
104,2.0011
105,3.0483
106,13.4441
107,1.9623
108,6.6507
109,13.548
110,7.8153
111,2.7624
112,12.2812
113,6.1988
114,7.3787
115,2.7514
116,13.2021
117,11.5354
118,9.7958
119,14.843
120,10.5102
121,13.5289
122,17.009
123,13.1847
124,4.8972
125,9.51
126,12.4149
127,20.0094
128,2.791
129,6.8253
131,11.5892
132,11.3752
133,11.6912
134,10.7996
135,14.5559
136,12.4458
138,11.3685
139,28.5212
140,10.8373
141,15.0335
142,65.2483
143,73.9836
144,54.3831
145,64.4216
146,50.134
147,26.1273
149,5.6797
150,12.2526
151,26.0017
152,5.8865
153,12.1715
154,16.6856
155,16.9843
156,4.1492
157,12.5942
158,5.0265
159,6.5118
160,5.7191
161,3.7382
162,13.1979
163,17.224
164,14.125
165,12.0879
166,11.2221
167,13.7724
3050,8.9134
1296,8.2005
4014,6.42
3697,15.209
1160,14.4863
971,12.4617
2565,13.8322
4171,10.0043
4501,2.8008
6331,5.8267
411,12.0815
2504,5.8433
4071,5.0865
3934,4.0723
5358,2.9064
4144,15.3337
5359,3.7019
5360,3.9202
3954,6.8769
1110,12.6077
1332,7.74
1400,8.723
3903,2.9117
3401,6.7189
3479,11.4295
6493,2.9583
5251,3.0654
3189,14.6654
6603,2.8827
3191,10.4301
7149,1.9119
2795,6.8462
6073,4.9786
5716,6.8013
5176,3.5817
6546,3.9628
5986,4.6955
7049,2.8845
