Node,WIC
0,4.0
1,2.0053
2,2.0035
3,2.002
4,2.0
5,2.0
6,3.4851
7,4.6942
8,22.7953
9,2.8891
10,4.1125
11,3.238
12,3.2894
13,4.0332
378,5.9269
379,4.7312
380,7.7645
381,9.1656
382,3.1065
383,7.3139
384,5.0153
385,3.2734
42,6.9732
386,6.9298
387,2.2986
388,2.4083
389,2.5017
390,3.877
391,4.3275
392,6.191
393,8.0619
394,3.9976
395,3.0176
67,20.3424
396,2.4551
397,13.5777
398,5.6759
399,4.3505
400,6.8154
401,6.2313
402,9.8634
403,12.3198
404,7.7554
405,3.0809
406,2.6695
407,2.3853
14,9.6997
15,1.7219
16,2.755
17,2.7489
18,3.4636
450,7.1838
589,10.4178
618,4.4855
55,11.2898
619,2.9986
1940,3.3225
455,7.6558
1082,8.9659
457,4.0121
620,2.8288
2638,2.9973
2639,1.6103
2640,4.3412
4893,1.8181
1285,3.9741
19,3.4256
20,3.7748
21,3.8617
22,5.9512
23,3.4934
24,1.7548
3831,3.1843
3832,4.0352
3833,2.664
25,7.4687
26,10.2078
27,13.7073
28,4.2897
29,8.3697
1979,7.6234
2175,5.3754
439,3.7548
2177,3.8552
1997,3.385
2178,2.7467
440,5.0023
1433,4.3282
1780,10.9667
1783,12.3962
3088,2.4211
1763,9.1064
1487,5.6822
1436,3.0126
1797,7.6878
3089,3.7182
3090,1.6541
1750,10.1587
1777,9.8173
1791,2.8865
1792,2.8299
1793,5.4434
1794,3.2551
1795,5.4555
1802,1.6443
1803,1.6032
1311,10.184
1796,3.3366
1798,4.9947
1804,3.8925
1786,3.4715
1799,2.7751
1474,7.6941
1482,10.5872
310,5.1722
3738,2.3862
1765,2.4043
30,2.0
31,2.0
32,5.1148
33,4.2933
34,15.5312
35,8.7311
36,15.8965
37,19.551
38,6.7694
39,3.0714
40,1.7089
41,2.8609
43,13.5541
44,2.4164
45,5.7899
46,2.3648
47,7.0304
48,8.5638
49,16.3222
50,2.1925
51,6.0179
52,5.4378
53,15.5907
54,2.3885
56,4.6524
57,2.4024
58,7.9306
59,1.7247
60,19.8673
61,11.1276
62,2.3943
63,20.2719
64,1.7233
65,2.82
66,4.0156
68,4.5256
69,3.084
70,6.4675
71,11.3357
72,15.359
73,3.8046
74,7.2563
75,6.3009
76,2.9533
77,12.9456
78,3.1044
79,9.6438
80,8.4412
81,17.5658
82,2.3153
83,1.633
84,3.7231
85,4.5506
86,16.1347
87,7.5096
88,6.4486
89,4.2812
90,7.7806
91,14.7087
92,4.364
93,4.7004
2483,7.7264
2484,13.7166
2925,4.1257
2926,3.1608
2927,3.2061
1813,7.5374
1815,6.6824
3760,3.519
442,5.2546
521,27.7867
2432,4.3528
3761,4.0653
429,9.1669
1943,8.6666
984,10.2853
433,7.9548
807,7.7856
863,10.1871
601,10.8993
1891,5.7311
2234,8.8037
2009,6.7454
1083,3.6248
3723,1.7029
3724,1.7023
437,14.6743
2666,10.755
4059,2.4261
4060,2.4929
2670,3.1323
2672,3.1648
559,7.8227
584,8.9748
593,2.9856
1993,9.6221
2976,1.5982
2977,3.5363
596,4.2885
4327,2.4457
3069,3.8327
4328,2.5578
1843,3.3402
1434,5.5658
1437,2.4056
1438,2.4386
1441,2.4536
1442,9.0643
1443,4.6599
1444,3.5967
1445,2.7009
1439,2.4768
1446,2.4764
1440,4.0837
1447,1.7451
1448,1.6809
1449,2.5348
2956,2.3408
1920,7.7879
714,10.9729
1012,20.8428
341,14.3309
1018,17.213
465,4.4792
434,17.3352
1496,15.6599
291,29.564
1994,13.307
2981,4.8311
3080,2.4884
3081,1.6442
654,4.798
571,17.5784
1932,2.3568
1939,2.9713
1941,2.4649
1942,2.4035
1944,4.2731
1945,3.7893
3700,6.9327
3703,6.2072
3706,3.17
1221,11.7574
614,12.1629
4335,8.2674
1933,4.816
1060,4.716
416,3.4097
2636,6.4464
4141,4.5562
600,5.8136
2952,4.8708
1213,8.935
2953,3.2056
2954,4.5726
2955,6.7936
2957,2.4238
2505,6.4467
778,4.3097
2958,4.5408
2959,1.6084
2960,1.67
2961,4.5917
1901,3.557
2740,9.2133
1140,3.9887
2677,2.3256
2962,4.3007
2963,6.1636
2964,4.6218
432,10.1174
4337,3.1531
1934,4.3769
1031,3.6155
4643,1.6027
896,9.478
2000,4.2979
1614,5.5531
2001,2.9673
1615,6.849
2002,6.021
2003,6.5905
2004,2.3339
2005,4.8876
2006,4.0763
2007,2.932
2008,7.0247
1127,7.3488
748,12.9717
2010,2.2193
2011,4.4597
2012,3.671
1131,9.0718
2013,2.9116
1122,7.6512
2014,4.662
1065,10.0356
688,11.4563
758,3.4539
759,7.6065
792,3.6479
793,4.5172
794,7.2649
795,5.3538
782,13.6081
796,10.6545
797,6.3132
798,1.6401
799,4.5008
800,4.831
801,4.3394
802,3.536
803,7.1999
760,3.4595
804,3.1024
805,10.7398
701,9.3768
787,7.6659
806,6.3555
761,4.3318
703,9.6465
808,16.0018
1691,14.1046
4906,2.4332
4907,2.44
3715,2.9751
4160,2.4383
323,4.6507
2737,3.024
721,11.813
532,13.9257
774,10.083
1101,5.9353
894,3.2145
2734,2.4035
2735,3.4209
2736,3.1831
775,6.3274
905,9.83
906,2.8204
917,3.607
907,13.6209
908,3.7166
909,4.3216
694,11.4703
910,2.7309
911,3.6628
921,6.1642
732,13.5412
912,6.2504
913,3.2587
914,3.5744
922,2.1757
923,2.9571
924,9.7274
915,2.7557
916,3.7304
918,2.6799
925,5.7102
926,5.909
