Node,WIC
0,13.1319
1,21.2759
2,16.9232
3,43.1738
4,50.4471
5,56.4924
6,59.076
7,71.1104
8,12.759
9,15.6381
10,8.482
11,8.3521
12,39.1008
13,27.5322
14,36.7993
15,32.6264
16,31.8839
17,6.6168
18,16.8861
19,19.002
20,20.137
21,103.4425
22,1.928
23,3.5614
24,60.9037
25,11.6675
26,4.7945
27,16.6717
28,24.6168
29,38.4023
30,7.8335
31,3.3284
32,30.7242
33,6.6783
34,4.799
35,60.1195
36,19.1484
37,11.9556
38,14.2354
39,14.4077
40,14.9386
41,15.9574
42,17.2062
43,17.8896
44,20.8754
45,20.8637
46,22.1825
47,8.6896
48,32.1999
49,32.6091
50,13.5073
51,3.5408
52,15.4745
53,41.189
54,37.7118
55,1.3728
56,8.4648
57,8.5498
58,9.093
59,8.5058
60,30.6181
61,27.7067
62,14.6014
63,14.7773
64,14.0921
65,6.0529
66,2.3298
67,18.9845
68,19.5887
69,45.7703
70,7.8204
71,7.3534
151,39.1847
378,7.784
318,7.4739
437,4.3738
438,7.5722
326,9.3873
327,19.1674
398,14.7073
84,49.5523
439,18.9843
440,5.3845
441,12.3924
442,6.1137
390,9.9279
391,16.548
443,12.3975
444,14.9901
445,14.036
446,37.7351
447,42.5552
394,32.7949
85,45.5082
86,52.5922
87,53.5799
374,29.2973
415,8.2618
416,9.2408
448,4.6604
459,4.3232
460,2.3506
461,8.726
462,16.153
463,5.6097
464,6.9731
277,11.1978
465,8.7686
466,7.9402
467,7.7697
468,7.7914
469,6.5253
177,22.0443
470,8.4638
471,9.7697
472,9.4134
473,16.0564
474,17.3079
475,13.3683
476,13.5953
381,12.1473
477,20.7387
478,14.3636
479,8.8846
385,15.0598
480,14.1419
481,16.9462
386,8.8482
482,24.1182
483,25.3776
484,24.3863
485,27.5902
486,27.7158
256,32.9569
387,13.2334
487,11.7745
388,13.8179
488,4.3672
489,29.3503
490,20.1667
491,14.3212
492,10.5363
493,11.7349
494,12.503
495,26.3114
496,12.4493
497,30.1482
335,13.5827
498,11.0047
499,11.0016
500,11.1214
501,13.4351
211,14.7444
502,23.5948
393,43.959
503,38.9714
504,10.8754
505,16.8434
506,36.2283
507,12.2073
508,5.9733
509,7.0567
510,6.5456
308,18.7918
511,14.7007
512,3.6408
513,3.4674
514,4.5235
515,4.125
516,5.3642
517,3.2042
518,9.2372
519,3.5947
520,5.1772
521,7.5996
522,7.0028
523,3.9501
524,9.8056
525,9.9783
420,9.6201
526,11.0478
527,5.3847
528,8.6998
529,6.6829
530,8.9927
240,18.5712
561,3.0841
562,12.3097
379,7.2558
380,6.5244
563,7.5613
564,5.7997
565,11.9617
566,16.0513
567,6.4381
568,7.3407
569,11.5258
570,30.734
257,32.0029
397,27.3203
571,18.8478
572,8.3377
573,18.1577
574,19.3448
552,21.3889
553,21.8663
575,10.6071
576,10.5484
341,11.4552
577,4.6413
578,2.5485
579,2.519
580,3.7199
581,3.5427
582,4.387
583,2.5938
584,3.5264
585,4.8922
586,6.4137
587,5.4345
588,4.0359
589,6.9917
590,7.7719
453,16.1873
454,15.553
322,16.5676
107,27.3211
591,8.3486
592,8.9519
593,8.1667
124,24.6936
455,17.1674
333,22.8099
118,32.1384
119,28.4718
120,38.5186
121,27.2887
594,27.9827
595,22.3869
596,4.2209
597,3.7613
598,4.0841
599,3.5044
600,4.7362
601,6.7989
602,14.2476
603,5.358
604,9.4413
605,14.1501
531,8.3242
532,8.6365
533,8.964
534,8.8925
535,11.6929
606,14.8582
607,12.274
