Node,WIC
0,1.7242
1,6.7666
2,15.3059
3,2.9746
4,14.6566
5,15.6395
6,30.0285
7,6.6796
8,44.3924
2420,12.8147
2436,18.846
1906,23.7064
2479,27.5681
2032,33.6711
2999,12.7299
3793,5.6465
2506,17.3021
2473,29.1619
2500,14.6349
2434,9.5133
3784,2.2825
3813,7.2939
2474,11.6672
2495,18.9477
3824,7.6717
6554,1.6807
2496,5.5932
6555,4.3902
3534,3.573
363,46.3361
2924,16.9868
2925,12.528
394,21.4493
377,30.3424
2929,16.2174
2930,20.1895
909,31.8576
2934,28.9152
2937,9.0781
2938,25.6645
2985,7.3474
3029,7.8489
2986,14.6476
370,26.8967
2958,17.3522
3033,4.6421
2971,16.2028
655,48.8681
2989,6.6215
2983,7.3694
162,15.0707
1119,17.3005
1754,20.6708
3545,11.8654
2482,46.7459
2951,10.2632
3360,14.4643
2099,10.1077
1999,15.7472
3535,5.4564
6723,1.6169
6724,2.3574
2994,9.4715
5561,3.6678
2988,4.0962
2422,15.2259
2427,11.9633
2428,7.4339
2910,11.4892
2514,11.3261
3527,11.449
3528,14.8745
2991,6.6578
3529,8.0375
2940,6.0012
3532,5.5856
3001,6.9919
2433,7.4218
2464,17.8181
3015,4.5874
3785,2.2603
3786,1.6458
3787,3.7848
3363,15.7005
2914,3.5995
688,7.4788
2497,13.4971
2442,18.376
3003,6.118
3548,3.5172
3788,6.4375
2984,20.09
558,2.9757
2513,3.5561
2439,15.3462
3789,2.563
1807,30.2054
3546,3.5557
3538,9.7085
5416,2.4548
2518,3.4305
2435,9.152
232,3.1603
5057,6.9572
2480,6.16
2421,10.5476
1840,10.309
2484,15.8329
3530,1.5861
2469,8.2446
3531,3.7975
3533,14.2931
2487,21.5389
3536,5.4239
3537,10.6724
3048,15.69
1488,12.3042
3539,4.2415
3540,6.2667
3541,6.1169
2501,16.4865
3542,8.4901
3051,6.3577
3543,2.3171
2995,3.6851
3544,2.3758
1516,11.8199
2957,10.5284
2996,5.0299
2443,14.6534
3547,7.9241
3270,5.9667
2437,25.3746
3549,11.5404
9,9.222
10,23.9296
11,16.576
12,1.7924
13,18.0706
14,12.9595
15,7.6044
16,4.4286
17,16.3239
18,6.2845
19,10.8814
20,1.9029
21,6.2805
22,3.4722
23,12.9143
24,2.7669
25,1.8457
26,3.6935
27,23.2459
28,1.8091
29,11.6357
30,9.2059
31,14.6471
32,3.6473
33,2.6855
34,9.0957
35,13.0074
36,11.4559
37,101.5635
38,4.3432
39,12.7037
40,14.5865
41,21.9442
42,1.915
43,2.7642
44,2.6435
45,10.57
46,10.9737
47,11.6401
48,10.1251
49,11.3636
50,13.7153
51,16.0524
52,11.8774
53,8.5285
54,15.8473
55,19.5835
56,40.6751
57,50.9234
58,13.9996
59,23.032
60,20.6368
61,2.3223
62,6.6989
63,8.7278
64,1.7186
65,10.4122
66,12.382
67,3.4129
68,12.4262
69,14.8012
70,36.3709
71,2.4584
72,12.3784
73,9.4524
74,36.6231
75,31.4649
76,5.0864
77,1.7749
78,3.1458
79,5.1647
80,51.6682
81,19.6533
82,9.1377
83,16.9371
84,3.6986
85,12.758
86,7.3793
87,30.4231
88,9.7534
89,4.3376
90,19.0773
91,2.6623
92,8.9841
93,3.7159
94,10.6442
95,5.1145
96,3.4712
97,4.5467
98,4.7692
99,4.5399
100,17.1916
101,8.5596
102,6.4612
103,8.0667
104,2.6517
105,25.0186
106,5.0459
107,11.22
108,7.3802
109,15.9981
110,6.3302
111,5.3494
112,5.6572
113,28.6119
114,16.2404
115,47.7686
116,3.5735
117,6.0797
118,11.6039
119,8.2397
120,16.5303
121,5.1279
122,13.5247
123,24.4378
124,5.5074
125,9.0555
126,3.9528
127,7.7305
128,1.8344
129,11.6566
130,1.8806
131,7.565
132,4.2793
133,2.6417
134,30.7779
135,1.8208
136,11.7755
1966,10.9232
4625,3.3976
5339,4.6063
4181,13.2334
1951,5.2037
1082,9.6819
1836,8.9311
1163,11.8137
1852,16.3254
3894,6.8123
1955,6.514
1970,8.3661
3870,6.528
1969,6.0972
6142,2.6432
5773,3.4909
6234,4.6012
5341,1.9796
2353,9.0403
738,33.3931
492,2.8516
3968,8.5845
3950,8.6999
3201,6.2178
6362,8.1591
5546,8.746
2527,3.9949
6205,2.4432
741,3.0985
2448,7.0588
6525,2.4768
6526,2.8712
2687,18.939
791,7.6536
5489,5.8706
1173,6.5045
6527,1.868
6528,2.858
6529,1.8699
4672,2.4953
274,118.7042
1935,15.9883
2108,5.495
7251,1.913
4001,3.4887
7252,1.7943
5070,3.594
6458,3.6253
1141,5.7225
5646,4.3545
3869,2.6209
5340,2.5431
1830,16.2103
1832,6.7024
1837,5.2667
2455,8.1174
6145,5.1422
4649,7.2228
1949,6.6386
3344,9.5917
5071,4.0702
7022,3.6303
7273,3.2916
724,74.0207
1930,22.2874
1947,4.9243
4926,8.8593
1839,7.3034
6308,2.8589
1884,14.6913
1904,5.1522
267,17.8823
6679,3.7185
5486,4.34
6680,1.7919
1967,11.109
1076,7.0404
1939,6.3753
1130,11.3759
1851,25.9981
1927,14.3672
1960,7.9598
4933,5.8401
1120,16.501
3641,9.8316
3834,2.0292
3835,1.8354
3836,2.0288
3837,3.6437
3838,5.9516
3839,1.9957
3840,2.8039
3841,1.9246
3842,8.0996
2028,6.8748
248,46.1679
3843,4.6722
3844,2.9717
3845,1.8337
3846,2.7286
3847,1.6307
3848,1.8299
3849,1.9333
3850,4.228
3851,1.9557
2449,3.7953
3852,3.8799
3853,1.843
3854,1.9023
3855,1.9691
3856,2.7973
3857,1.856
3858,4.6608
3859,1.9126
3860,1.8407
3861,2.7232
3862,2.0239
3863,2.5545
751,21.0363
1957,11.0936
3864,1.7594
3865,2.8062
3866,2.7543
2030,2.5894
3867,2.8986
3868,3.7097
3871,1.8596
3872,2.8205
2689,10.5334
3873,1.7686
376,25.3687
3874,5.4282
3875,3.5021
1134,2.5729
1895,3.9361
3876,1.7571
3877,2.0934
3878,2.0235
3879,1.7242
3880,1.8845
3881,1.9248
3882,1.9442
3644,3.4119
3883,1.8549
3645,11.8744
3884,1.6735
3885,1.8476
3886,2.6654
3887,2.9179
3888,1.8297
3889,5.4085
3890,5.0812
3891,2.9199
3892,2.0402
3893,1.8545
3895,6.4576
3896,5.2531
3897,4.71
3898,1.7357
3899,1.944
3900,3.4992
3901,1.8558
3902,2.6645
2415,6.7725
3903,1.7852
2457,4.5427
3904,1.6922
1157,11.1674
3905,1.9582
3906,1.6939
3907,1.9799
3908,1.7685
3909,3.8155
3910,4.8839
1146,4.8498
1965,4.0504
3911,2.9023
3912,2.8119
3913,7.1401
5403,6.0003
6148,2.7986
6149,4.6022
4619,4.637
1826,18.7561
1093,38.0779
1834,4.9392
1083,7.2148
1954,9.1496
1845,17.0505
1929,10.9881
1125,9.2703
1862,14.375
1924,8.2056
1831,8.8611
1833,11.4936
1913,3.3624
4650,3.5806
294,17.3519
1154,7.0361
1156,5.5449
4651,2.4245
4652,5.5678
4653,1.8309
6247,2.7459
246,20.0985
1956,4.0513
1905,14.9284
1958,5.0484
1959,2.6375
1945,13.5111
1961,3.4602
3088,25.2141
3565,4.3469
2863,7.7469
2101,6.5174
2015,60.344
3566,4.6793
2228,23.2973
3226,11.944
2010,45.833
2244,92.1534
2205,26.8858
6519,1.7363
3076,12.5664
3120,10.0528
6520,4.1802
1989,4.7995
3331,11.488
2242,8.9522
3578,6.5528
3179,4.7868
2189,24.9728
2232,8.5623
2236,10.0932
2199,14.5703
2230,23.4226
2245,12.5139
3442,7.2132
3448,3.4354
3445,5.5257
3449,5.1972
2478,25.3791
3447,7.943
3450,2.4084
3451,4.1421
3444,3.8346
3452,6.8757
3453,2.4094
3454,9.0738
3446,3.6305
1995,48.1556
1037,29.9443
397,36.2865
6733,1.5578
3134,3.6175
2223,20.2628
3123,5.6502
2210,12.0249
2839,7.3312
2896,16.7443
2872,9.5587
2853,12.8832
2893,11.6855
2871,11.2168
3570,4.6756
7268,3.503
3469,4.3525
3083,16.045
3133,10.9435
2237,17.172
3065,11.873
2246,5.4167
6738,1.6294
6739,2.3754
3130,8.4007
2843,4.7764
3567,2.4435
2886,2.6903
3568,3.6088
2888,17.0291
3569,3.4972
3571,5.0827
3572,1.7432
3573,6.6251
3574,4.1327
3575,1.6914
3576,1.8515
3577,2.4683
2188,44.1445
1726,40.0282
3063,7.3696
3135,8.7044
3464,11.3807
3071,16.0813
3075,16.7396
2247,12.3574
3069,11.6609
384,21.54
2240,25.8782
3066,14.8417
2226,6.9525
1998,39.0997
3214,4.789
3078,16.2805
3155,6.5632
2218,11.4837
3128,7.9154
3213,14.3021
6789,1.677
1994,28.0475
2884,12.9963
3148,2.6993
2260,9.9972
2239,2.9287
2203,5.6351
5866,3.2655
3218,5.5247
6790,1.6201
2882,7.3424
4744,5.3891
3097,4.4355
2866,3.9661
3224,5.1342
6674,3.1764
3323,11.8156
700,28.5008
1990,16.9727
3455,2.4267
3456,10.5546
3457,3.1394
3458,9.8741
3459,6.5493
2870,6.0631
2804,19.1733
2857,10.2863
3113,27.4006
2201,37.3493
3460,4.281
3114,22.4818
3461,2.4036
3462,1.5986
3463,28.6361
3184,3.9969
3118,20.6741
2894,7.5881
2212,16.2427
3465,3.8578
3466,7.4966
3467,3.976
3468,1.7446
3470,2.2935
2848,7.1231
3154,6.3278
3471,5.3774
2220,124.3302
3163,28.7689
3472,17.5106
3473,5.6662
3474,3.3629
3475,1.658
2876,10.5762
2850,24.8919
2277,14.9441
3476,16.336
3477,7.2648
3068,11.6001
2837,8.4252
2842,10.5221
3620,2.4396
3621,2.2532
3622,7.4541
3623,3.9276
1987,3.4247
2204,53.8618
3074,15.525
3132,5.1952
4745,2.9201
3129,7.0474
2200,8.0712
3116,5.2423
6737,4.0405
3191,5.197
3203,6.3625
2587,9.3714
6798,1.6826
6799,1.6321
2865,4.25
5982,2.2951
3189,6.463
3443,5.6062
3481,3.5457
3482,2.5563
3483,5.6483
4657,7.935
378,46.588
1911,24.2971
1844,7.1062
4154,10.2783
1912,17.1913
4093,11.325
6964,1.792
4309,6.4954
6965,2.8121
6966,1.8854
320,64.169
2730,10.0803
1761,17.4837
5413,9.269
2466,9.5788
2157,22.0677
1814,17.6193
2272,10.9307
3808,6.2622
7074,2.6195
4463,8.3637
5414,6.4913
5522,4.7729
3584,8.1905
5520,6.563
797,16.4339
212,83.277
3918,5.2193
254,105.6539
4274,4.1601
4313,4.8406
4314,3.3237
4315,1.8149
