Node,WIC
0,2.4709
1,3.2317
2,2.4638
3,1.7413
4,2.675
5,2.6653
6,2.689
7,2.6739
8,2.7069
9,3.7865
10,1.7075
11,4.9788
12,2.9863
13,3.013
14,2.4187
15,2.3939
16,1.6517
17,4.1778
18,2.5634
19,2.5392
20,2.5138
21,2.825
22,2.8131
23,2.8215
24,2.8581
25,2.2445
26,2.2485
27,2.2476
28,2.2717
29,2.2475
30,2.2456
31,2.1331
32,3.702
33,3.6965
34,3.2059
35,3.1817
36,2.1148
37,2.131
38,2.2448
39,2.249
40,2.2536
41,6.4551
42,2.2729
43,2.2857
44,17.3187
45,14.2896
46,11.0707
47,3.2807
48,8.0448
49,6.5858
50,4.0706
51,2.5176
52,6.4478
53,3.1824
54,8.6074
55,5.7784
56,4.6728
57,4.8012
58,3.0069
59,4.084
60,4.0798
61,5.0683
62,2.6739
63,1.4702
64,2.6083
65,2.6206
66,2.961
67,3.0218
68,3.0496
69,4.6584
70,4.7002
71,2.4642
72,2.0923
73,3.5424
74,3.6155
75,2.9976
76,2.9056
77,3.0282
78,1.9625
79,3.0894
80,2.5906
81,4.6523
82,8.5061
83,4.5908
84,4.2039
85,8.7698
86,2.05
87,6.0785
88,3.1144
89,3.175
90,1.9994
91,3.1678
92,4.7144
93,2.7161
94,4.2729
95,4.1599
96,4.9828
97,1.9955
98,2.6096
99,2.0685
100,3.5596
101,3.6308
102,3.59
103,3.5683
104,3.6192
105,4.4415
106,4.4492
107,3.5692
108,3.9244
109,3.4995
110,3.5151
111,6.9344
112,6.0489
113,3.3232
114,2.4038
115,2.184
116,2.1657
117,4.5852
118,3.0317
119,3.04
120,2.9232
121,2.5161
122,2.6021
123,2.2236
124,2.2211
125,2.2895
126,2.236
127,2.6562
128,2.6264
129,3.8794
130,4.1083
131,2.295
132,2.2876
133,17.5255
134,3.8328
135,3.8318
136,2.96
137,4.655
138,4.7148
139,4.7042
140,3.6812
141,2.2166
142,2.5956
303,7.7693
440,4.5196
441,5.5128
442,4.5137
443,2.8021
223,5.5822
235,2.3892
153,8.2897
634,1.923
635,2.3565
221,1.6537
222,3.5746
224,2.3127
225,2.3665
226,1.7904
227,2.832
228,2.85
229,2.8741
230,2.851
166,2.9156
167,2.8309
168,2.928
169,6.17
170,10.2757
171,3.9614
172,3.3726
173,5.4662
174,6.0042
175,5.5408
176,2.3526
177,5.0555
178,4.607
179,1.5757
180,2.4158
181,2.4779
182,1.6218
183,2.4347
184,2.3132
185,1.5645
186,2.9075
187,2.9731
188,2.8515
273,7.8204
276,7.1
281,3.3319
340,2.5745
143,2.9082
144,2.8599
145,2.8563
146,2.8513
147,2.8463
148,2.8546
149,2.0
150,2.0
151,2.2539
152,4.4662
154,3.3017
155,2.1631
156,2.7403
157,2.7166
158,3.3482
159,2.8489
160,2.8188
161,6.2452
162,3.8324
163,2.9507
164,2.9733
165,1.6221
189,2.119
190,4.0913
191,3.582
192,3.0207
193,3.0011
194,2.5707
195,2.2151
196,2.2765
197,1.695
335,1.5951
336,2.8287
337,2.8059
338,3.4854
339,2.2657
285,9.8541
341,3.8903
342,3.9107
343,4.7572
344,5.0323
345,3.9544
346,3.9621
347,3.5386
348,2.2245
349,2.1842
350,1.5592
307,2.7715
309,2.7223
351,2.3467
352,2.284
353,2.0862
354,4.8983
355,4.9105
356,4.9711
357,3.6394
358,2.638
359,2.4191
360,2.3825
361,1.6367
362,2.4153
363,2.3328
364,2.421
365,2.4115
366,1.7277
198,2.6133
199,4.0919
200,2.6386
201,2.5903
202,10.5921
203,3.6799
204,5.5269
205,5.3073
206,8.8975
207,3.9411
208,3.8636
209,3.5727
210,2.1685
