Node,WIC
0,1.7824
1,2.5818
2,3.9463
3,3.1414
4,3.1843
5,3.769
6,3.7682
2614,5.2988
7,3.3949
8,22.3439
9,4.41
10,9.515
11,7.472
12,52.7211
13,99.7372
14,25.1483
15,34.7783
16,11.0211
17,19.3372
18,19.1113
19,23.1428
20,28.5058
21,19.6874
22,30.8823
23,35.8825
24,28.4642
25,35.9677
26,25.2143
27,13.8104
28,23.661
29,17.1879
30,23.8331
31,14.8672
32,17.3741
33,18.9436
34,16.6911
35,16.9708
36,19.2002
37,16.4608
38,25.7541
39,15.3368
40,16.9645
41,15.446
42,20.6658
43,24.8522
44,17.8249
45,15.4196
46,16.4498
47,15.2833
48,23.1209
49,18.5376
50,14.4797
51,17.8494
52,18.816
53,15.0337
54,12.603
55,4.8193
56,2.739
57,3.1878
58,7.542
59,15.4583
60,13.3467
61,21.5757
62,14.0088
63,8.2109
64,9.4817
65,9.9913
66,12.2866
67,9.7308
68,7.1808
69,7.1793
70,5.6684
71,44.1625
72,1.6941
73,3.9362
74,1.7154
75,7.33
76,7.9959
77,13.8811
78,9.7083
79,11.0394
80,20.3685
81,43.7487
82,17.1169
83,6.2223
84,13.2625
85,20.572
86,6.633
87,10.4286
88,13.4134
89,26.3492
90,98.0312
91,10.8467
92,22.4927
93,15.7486
94,33.2416
95,25.5115
96,51.7471
97,17.3246
98,15.3863
99,20.412
100,19.7257
101,16.9239
102,15.7383
103,17.9349
104,13.6297
105,19.0185
106,19.7717
107,17.4797
108,14.6581
109,21.5151
110,17.2887
111,16.4892
112,16.1647
113,19.378
114,48.6632
115,13.5228
116,19.9506
117,16.4597
118,16.1989
119,2.1675
120,6.0433
121,17.3821
122,19.1643
123,15.4851
124,16.9181
125,11.5015
126,16.8665
127,16.9536
128,12.5194
129,7.4134
130,14.4806
131,5.4148
132,10.474
133,7.1675
134,4.352
135,2.205
136,2.1838
137,7.0525
138,4.8193
139,3.359
140,1.5286
141,2.2084
142,1.4347
143,3.2754
144,2.8948
145,3.2442
146,2.9206
147,1.4879
148,3.3984
149,1.4217
150,23.5642
151,21.2823
152,13.175
153,20.3219
154,32.2044
155,31.1244
156,15.4533
157,7.5682
158,43.0841
159,3.2035
160,14.8784
161,15.2589
162,9.0642
163,9.6257
164,8.2275
165,38.2027
166,28.31
167,26.0684
168,37.2727
169,13.9554
170,16.4168
171,15.2634
172,14.8828
173,15.8181
174,14.8989
175,15.7621
176,14.9552
177,15.9475
178,15.2527
179,14.9988
180,13.3467
181,14.8872
182,14.3202
183,14.9511
184,13.2385
185,14.7303
186,14.5591
187,14.6035
188,14.8973
189,15.1176
190,14.5539
191,14.4477
192,13.7444
193,20.4174
194,14.8352
195,9.676
196,22.3718
197,10.8122
198,13.6014
199,7.1544
200,6.8311
201,7.1451
202,28.1117
203,10.2295
204,5.5832
205,9.5565
206,7.21
207,69.8333
208,22.8148
209,17.4643
210,16.1406
211,19.1794
212,15.6518
213,15.8031
214,12.9782
215,9.1918
216,15.4791
217,10.5146
218,3.3659
219,45.7496
220,26.1483
221,5.6505
222,12.3326
223,11.7838
224,8.9137
225,17.775
226,12.6577
227,38.9681
228,5.6743
229,5.7814
230,6.3054
231,10.2161
232,10.0455
233,5.6194
234,11.3649
235,6.1221
236,8.1135
237,19.1697
238,4.7514
239,14.4673
240,8.9433
241,9.1819
242,1.7918
243,9.6881
244,2.083
245,21.1221
246,11.192
247,2.2067
248,8.0208
249,8.9142
250,16.3673
251,14.2044
252,5.867
253,17.0787
254,11.8445
255,17.8239
256,3.9273
257,11.9665
258,3.3539
259,4.6433
260,5.8283
261,5.464
262,9.1714
263,4.3177
264,5.0319
265,2.5698
266,5.1932
267,2.6476
268,4.6254
269,1.5265
270,6.652
271,6.0732
272,4.2168
273,1.5092
274,1.5812
275,2.5005
276,1.5058
277,5.6464
278,3.4168
279,3.6411
280,5.3878
281,5.3037
282,5.5044
283,4.0525
284,8.0509
285,29.248
286,24.9962
287,4.65
288,4.8972
289,8.7039
290,8.4408
291,9.3529
292,2.9504
293,18.3318
294,1.4927
295,6.3701
296,6.4357
297,5.9698
298,14.2563
299,5.8862
300,6.9122
301,5.2774
302,2.492
303,8.7544
304,4.1167
305,1.4629
306,4.5835
307,7.057
308,12.1197
309,40.9342
310,47.9806
311,26.9582
312,6.998
313,13.1328
314,12.4008
315,32.1351
316,8.3593
317,10.627
318,19.8659
319,2.8553
320,3.5918
321,2.7581
322,8.2481
323,14.2564
324,8.4087
325,7.3041
326,8.603
327,4.8853
328,11.5682
329,4.3718
330,6.0735
331,5.3498
332,11.4549
333,5.4628
334,1.3418
335,7.4232
336,2.608
337,2.6553
338,2.8018
339,2.6556
340,3.6243
341,1.3672
342,1.4644
343,5.0326
344,3.4849
345,3.2713
346,6.2349
347,6.4651
348,6.4977
349,5.1172
350,1.4967
351,5.5583
352,1.5871
353,25.4292
354,3.9674
355,14.7477
356,9.6583
357,1.4656
358,1.3414
359,9.1608
360,12.0436
361,14.7378
362,9.3077
363,8.6848
364,10.2766
365,7.0573
366,9.2167
367,11.4204
368,7.5939
369,7.3022
370,7.9434
371,7.5791
372,8.0228
373,7.5922
374,1.3762
375,11.0274
376,7.8189
377,2.1658
378,38.1692
379,9.6926
380,7.8711
381,8.1024
382,13.4795
383,4.2488
384,3.8096
385,1.4019
386,3.1777
387,8.001
388,4.5173
389,9.378
390,3.8638
391,5.629
392,6.6749
393,6.4298
394,6.2327
395,6.8087
396,4.1074
397,7.7635
398,12.2935
399,4.8838
400,2.2323
401,3.225
402,5.3214
403,3.987
404,1.7703
405,2.8082
406,3.503
407,1.8169
408,1.8381
409,3.2571
410,1.8886
411,11.4728
412,6.148
413,9.3205
414,5.5767
415,2.2472
416,5.9981
417,5.3633
418,13.0602
419,5.4567
420,4.3768
421,7.8583
422,3.0807
423,3.0805
424,2.6849
425,2.4029
426,1.6082
427,1.6008
428,1.6291
429,1.5995
430,1.6706
431,1.6121
432,4.6467
433,5.1923
434,4.6514
435,4.575
436,1.5379
437,2.846
438,1.6642
439,5.7149
440,1.6549
441,2.6628
442,3.6695
443,1.6484
444,3.4604
445,11.5997
446,19.6795
447,11.9768
448,3.9523
449,3.2147
450,2.619
451,7.4309
452,1.6821
453,8.5446
454,1.7407
455,8.232
456,9.3151
457,5.3142
458,1.6277
459,3.3192
460,2.4384
461,1.7607
462,2.6392
463,5.2313
464,1.6061
465,1.5717
466,1.7863
467,1.6076
468,1.5808
469,1.6896
470,1.5739
471,3.6187
472,4.0854
473,1.7687
624,11.9211
625,2.4694
626,13.1452
501,29.6569
627,23.1969
628,11.3492
629,20.6696
630,10.4372
631,16.1537
632,9.9668
633,10.9585
634,6.3388
635,7.8763
636,6.4217
637,7.0422
638,9.9237
639,2.7704
640,4.57
641,7.4987
642,6.7741
643,14.3172
644,13.397
645,12.2407
646,13.9489
647,9.4715
648,1.388
649,1.3495
653,19.9203
659,18.959
660,13.3971
661,13.342
662,13.7963
663,14.2421
664,15.884
665,13.6331
666,13.564
667,14.4423
668,13.9071
669,13.5892
670,13.3965
671,10.6464
672,13.6324
673,13.7849
674,13.7157
675,5.2755
676,1.3425
677,1.4159
678,1.3823
655,12.928
502,54.1094
679,3.3971
571,30.0746
680,35.9004
681,30.5875
682,4.4308
508,10.06
509,11.4985
510,12.6506
572,11.9202
511,12.8594
683,24.1105
684,4.8331
685,9.6451
686,4.8887
687,13.0608
688,7.2283
516,11.1636
689,12.9981
690,2.7771
691,4.526
692,4.7451
693,2.4045
694,11.233
695,3.4592
696,1.5016
697,2.27
698,1.9197
699,3.9396
700,3.7685
701,1.419
702,1.4709
703,1.7672
704,1.4431
705,1.4513
650,5.5833
651,7.3391
652,5.728
654,7.8419
656,8.8694
706,9.7312
707,8.4007
657,6.5503
708,3.4476
709,6.4062
710,4.6624
711,5.873
712,1.731
713,2.3071
714,2.248
715,1.4208
716,9.3798
717,1.7532
718,2.1073
719,2.2744
720,7.3334
721,3.7065
722,1.3923
491,9.3496
503,27.2514
504,3.7717
505,3.078
506,3.8466
507,5.0221
493,25.1055
512,30.3894
513,11.5461
514,7.2176
515,10.2807
517,11.5362
518,6.6538
519,4.0994
520,4.014
521,2.963
522,9.246
523,17.1471
524,7.7511
525,8.4988
526,9.7233
527,10.9929
528,5.4389
529,5.8019
530,15.8166
531,2.463
532,2.3715
533,2.909
534,4.0953
535,1.5234
536,2.8988
537,1.6068
538,3.8006
539,10.9183
540,5.3312
541,6.6045
542,2.1006
543,2.4053
544,4.2169
545,3.9707
546,2.2128
547,2.8655
548,3.4314
549,4.3163
550,6.4122
551,5.7247
552,6.0331
553,2.2324
554,3.8891
555,3.7383
556,1.6202
557,1.5683
558,1.5299
559,1.6903
560,2.5012
561,1.6548
562,1.4881
563,1.7328
564,2.4588
565,1.5292
566,1.6107
567,1.6793
568,1.7841
569,1.5424
570,1.6912
782,2.6316
783,8.8702
784,1.7469
785,1.6603
786,1.6367
748,7.9108
573,6.4471
787,2.3669
788,2.3514
789,3.3581
790,3.765
791,2.8714
792,1.6225
793,2.6459
794,1.6263
795,2.2595
796,4.4329
797,3.1164
759,10.4477
760,9.8986
761,5.2732
762,10.3593
728,1.9937
729,1.8783
730,2.9105
763,2.3011
658,5.7768
764,10.5616
798,8.4762
799,1.5652
800,6.6521
801,6.7912
802,1.5644
803,7.3944
804,1.4232
805,2.3776
806,1.4128
807,10.303
808,4.7307
809,3.2014
810,3.1071
811,1.5026
812,1.4354
813,8.1885
814,6.0628
815,2.871
816,1.9853
817,7.5775
818,2.9882
819,2.5617
820,1.5619
821,6.0807
822,4.3438
823,1.5297
824,3.5622
825,3.9474
826,2.8065
827,3.9065
828,3.4384
829,3.7405
830,7.6274
831,4.8094
832,1.4641
833,1.7455
834,2.0195
835,1.5134
836,1.5153
837,28.6248
838,9.9937
839,15.0451
840,9.9412
841,6.4558
842,16.8303
843,6.5177
844,7.5682
845,5.4195
846,5.2466
847,4.3133
848,1.6087
849,1.6496
850,8.9629
851,19.983
852,25.8077
853,15.5599
854,15.3725
855,21.7308
856,8.5504
857,11.9053
858,20.4961
859,9.8626
860,40.7684
861,17.5224
862,9.5887
863,15.2209
864,19.7817
865,12.6941
866,10.6537
867,8.7312
868,14.0449
869,4.9876
870,4.7782
871,14.7253
872,7.3761
873,7.584
874,7.4699
875,11.4816
876,18.723
877,15.8649
878,16.3067
879,6.5869
880,12.7647
881,8.6109
882,8.37
883,10.2721
884,5.6674
885,5.5601
886,3.9899
887,4.5366
888,3.6692
889,11.5859
890,7.933
891,12.9595
892,5.2597
893,5.6977
894,4.9546
895,8.9203
896,9.6542
897,6.015
898,2.7036
899,2.7406
900,2.3605
901,1.6
902,1.6965
903,1.5789
904,3.4168
768,1.3477
905,19.7164
906,5.4318
907,11.1787
908,7.2531
909,2.7996
910,5.7559
911,2.9376
912,3.8624
913,2.7664
914,1.7724
915,1.8232
916,3.7086
917,6.8322
918,2.2501
919,4.5443
920,2.2097
921,2.3376
922,18.3903
923,23.4815
924,5.0102
925,13.7226
926,6.9666
927,4.7072
928,27.5781
929,12.0976
930,8.5405
931,24.5366
932,9.114
933,11.7696
934,4.415
935,8.2537
936,3.0407
937,3.005
938,2.5827
939,2.4713
940,10.4634
941,10.7761
942,1.5631
943,2.5748
944,1.5494
945,3.9775
946,2.1997
947,1.649
948,3.2677
949,3.0178
950,3.1296
951,7.9617
952,3.6137
953,3.6995
954,1.6094
955,1.697
956,1.7304
957,2.5771
958,1.6759
959,2.6305
960,2.7583
961,2.1812
962,2.6692
1051,21.3894
1563,8.5113
1389,23.032
2955,30.8915
1040,13.4591
1113,24.0845
2477,25.6551
2757,15.0487
2986,18.5106
5737,9.9079
2759,13.1502
2760,16.397
2761,6.1807
2486,21.4051
2990,12.1419
2995,9.0247
1294,6.0631
2997,10.5426
2999,10.1616
3000,7.0647
3003,11.9178
3006,9.3477
2224,11.7459
5100,6.1492
5101,7.8034
2774,3.9474
5738,1.5217
4113,9.0753
4127,4.4573
4115,5.5557
4128,4.0007
3435,5.9287
4116,7.3415
4117,3.4329
4120,8.5318
4122,10.9301
4129,10.0986
4130,5.9139
4131,5.3577
4132,5.0636
2492,15.8921
4133,2.7937
6557,1.766
1137,12.4208
2758,7.3737
4143,10.176
2491,15.5169
6558,2.5075
6559,2.5352
2159,21.6127
1967,22.6453
2161,14.0355
1701,16.5667
1067,15.9367
973,16.4586
2079,14.4126
2178,9.1506
2081,12.5625
2179,10.4499
2180,12.2484
2182,8.2418
2183,9.8516
2220,8.2025
2184,12.1096
4704,5.1658
4706,5.173
1287,7.2364
4708,4.216
4709,7.5501
4712,5.3816
4713,4.664
4525,7.1712
1039,14.5703
2177,16.9116
6532,9.9569
6560,2.2493
2222,12.1152
2223,21.6778
6561,1.6953
1976,10.7718
6562,5.3079
2225,11.3431
6563,3.6904
2226,7.5104
2227,8.2801
2228,9.3037
2229,8.6058
6564,2.4933
2230,8.3083
2231,10.0976
6565,13.2592
6566,2.331
6567,5.0995
6568,3.767
6569,5.1104
2488,9.8711
2232,8.594
6570,1.6259
6571,6.5366
6572,1.579
2233,10.8636
6573,1.6058
1569,8.6235
6918,1.5651
6919,1.6039
6920,1.4644
6921,1.5945
6922,2.1936
6923,2.2944
6924,3.6555
6925,1.5168
6926,1.4881
6927,2.2774
6928,2.3351
6929,1.4397
6930,1.5661
6931,2.0564
6932,1.539
6933,1.5155
6934,1.5674
2304,4.355
2305,8.7665
2306,4.2829
2307,11.1629
2308,4.4866
7127,1.4203
2691,9.3091
6643,3.5529
7271,5.0411
2692,6.4097
7296,2.7158
7297,1.8355
7298,2.8678
4134,3.0481
4135,4.1556
4136,3.5091
4137,4.3729
4138,2.6527
4139,1.6257
4140,1.7673
4141,2.9035
4142,2.079
4144,5.3382
2493,5.1166
4145,4.3735
3933,2.4078
7319,1.6109
2592,15.0858
5570,7.3465
2626,3.8706
2629,3.2246
2632,3.8839
3799,5.2375
3923,5.4916
3924,9.0519
3925,13.9044
1511,13.4271
3926,19.5084
3927,3.772
3804,5.6102
2865,7.1081
3928,18.5978
3929,10.8364
3930,10.7654
3931,6.4543
3932,2.739
3934,7.2756
3935,5.3086
3936,7.3173
3937,9.6428
3938,2.2681
3939,8.0906
3940,9.1231
3941,2.4456
3942,3.2741
3943,2.9188
3944,2.8825
3945,2.9957
3946,2.9678
3947,3.943
3948,1.6303
3949,4.5009
3950,1.7343
3951,1.6196
3952,1.578
3258,19.118
4146,11.1943
4147,9.888
4148,2.8665
4149,9.4685
4150,7.0074
2040,11.5235
4151,3.9527
4152,8.6344
4153,4.1007
4154,5.6406
1483,12.5239
4155,4.8872
4156,4.8205
4157,1.6694
4158,1.6213
4159,1.7537
4160,1.7082
4161,2.7334
4162,3.3498
4163,3.4865
4164,4.0713
4165,1.6622
4166,1.7413
4167,1.6502
4168,3.7438
4169,4.186
4170,33.4779
4171,12.5933
4172,2.2242
4173,1.5666
4174,1.363
4175,3.0094
773,23.6134
4176,3.8045
4177,3.4383
4178,2.1737
4179,5.5034
4180,3.6327
4181,4.5307
4182,5.508
4183,4.4531
4184,4.6252
4185,4.4848
4186,4.5785
4187,4.368
575,5.2223
4188,2.7856
4189,1.6351
4190,3.3678
4191,1.611
4192,3.6912
4193,2.4482
4194,1.6775
4195,1.719
4196,1.7132
4197,1.6996
4198,1.7082
1286,2.3687
5995,2.4131
6935,5.6519
6936,2.2026
6937,2.1458
2479,6.3554
5343,4.7565
6938,1.4718
6939,1.4037
6940,1.4898
6941,1.4514
6942,1.5075
6943,1.5427
1115,15.4502
3445,10.5556
4201,5.2109
4202,8.0015
4203,7.3305
4204,5.4058
4205,4.9438
4206,5.9526
4207,15.6339
4208,20.7541
4209,8.5362
4210,5.9422
4211,7.8004
4212,5.736
2045,3.7426
4213,4.9726
4214,1.6596
4215,1.69
4216,1.665
4217,3.7452
4218,1.7714
4219,4.1411
4220,6.6343
4221,4.0288
4222,4.0006
2484,15.1396
6944,3.1987
6945,3.2446
6946,3.1837
6947,5.0777
6948,2.587
6949,3.1657
6950,3.1841
6951,5.2349
6952,4.732
6953,2.0353
6954,2.173
6955,1.4517
6956,1.4951
7320,2.4236
7321,2.3377
2642,2.5094
7322,2.5584
7323,1.6676
7324,3.5298
7325,2.5354
1119,15.8572
1120,13.931
1400,15.0543
1108,19.0097
1620,8.6589
2168,11.7382
1036,6.0183
2478,3.9773
2480,13.1165
2481,6.7877
2482,4.5948
2483,1.5491
2485,14.8447
1827,10.7953
1295,20.884
2487,8.0897
2489,6.5968
2490,8.0069
1969,8.0819
1045,13.8118
1046,7.9487
1048,10.4618
1392,10.5252
1049,10.486
1050,10.9304
1777,7.8748
1394,7.8523
1396,8.1507
2494,6.7667
2495,2.3239
2496,2.2505
2497,4.3724
1122,3.4883
2498,8.0034
2499,3.3414
2500,5.6393
2501,1.5388
2502,1.587
1288,13.3672
1289,2.2874
6520,1.5236
6521,14.341
6522,2.9248
6523,4.1593
6524,2.248
6525,2.6848
6526,2.5515
6527,1.3651
6528,4.3329
6529,2.282
6530,2.1573
6531,2.7911
6957,5.3846
6958,2.9115
6959,2.9784
6960,2.0817
6961,2.3484
6354,2.2611
6962,1.4362
6963,1.419
4223,2.45
4224,2.4526
6458,5.3072
6459,5.1255
7326,2.5671
1112,10.4335
1480,8.1919
1941,42.999
3825,6.2181
4225,3.2302
4226,3.2839
4227,10.6102
4228,1.7007
4229,3.8212
2627,3.3131
2804,4.5606
4230,5.3495
4231,9.087
4232,8.9356
4233,6.7406
4234,2.3453
4235,4.8687
4236,3.7707
4237,2.1949
4238,2.2204
4239,1.5213
4240,3.2328
2593,12.5466
994,13.6575
2805,10.6017
2041,10.2398
4241,5.8524
4242,4.0749
2806,6.8432
1132,4.9897
7327,1.6486
7328,2.555
7329,2.4698
7330,2.354
7331,3.013
4828,8.3863
4830,5.3072
4831,5.5877
7332,4.1925
7333,4.8627
7334,2.6835
2324,5.075
7335,4.3865
7336,6.726
4508,6.2369
7337,3.758
7338,3.3384
7339,3.4665
5762,8.1572
5763,3.5012
5764,6.5402
5417,4.2462
5765,2.508
5766,1.7859
4118,11.9017
5219,5.3054
6578,2.6279
1205,103.4271
3805,5.3521
2341,15.5258
5293,18.7381
3389,19.5773
3511,7.4298
5409,4.6966
4716,4.4309
5410,2.6255
5411,5.461
5412,1.7429
5413,1.825
5414,1.7309
5415,4.8034
5416,6.2937
5418,1.7964
5419,1.7953
5420,2.599
5421,1.6169
5422,2.7719
5423,1.8878
5424,2.7414
5425,1.8109
5426,2.6213
7340,1.5202
6837,2.9907
7341,2.2228
7342,2.3653
7343,1.6164
7344,3.4702
6835,6.2801
7345,2.4871
6836,5.5858
7346,5.1435
7347,3.505
7348,4.7684
4243,2.6269
4244,2.4707
4247,1.6154
4248,2.5224
4249,1.8344
4250,3.1939
4251,1.6206
4252,2.7689
4253,1.7987
4254,1.7124
4255,1.6637
4256,1.7119
4257,2.4817
3957,3.1743
3958,2.281
4258,1.6756
4259,2.439
