Node,WIC
0,11.9828
1,15.5377
2,9.4152
3,6.3153
4,5.7086
5,6.3089
6,9.8256
7,14.0332
8,12.8323
9,5.9923
10,6.1945
11,8.0832
12,17.3405
13,35.039
14,13.4461
15,10.4677
16,12.2918
17,9.2313
18,6.8129
19,9.0363
20,10.6942
21,18.6259
22,8.2002
23,9.0656
24,19.1611
25,14.1155
26,5.6332
27,9.5271
28,18.4486
29,20.7262
30,19.3795
31,12.578
32,6.791
33,16.4004
34,40.4666
35,9.6939
36,19.8526
37,12.4556
38,5.4658
39,14.3972
40,25.9044
41,37.2666
42,5.6654
43,12.1283
44,8.694
45,17.082
46,19.0972
47,13.2358
48,7.3249
49,20.1601
50,22.6669
51,9.6749
52,7.2723
53,10.1533
54,16.7811
55,9.4454
56,22.1508
57,7.2293
58,15.1859
59,134.0783
60,10.7714
61,44.5183
62,25.7916
63,14.6925
64,17.0583
65,19.2387
66,15.3186
67,19.9219
68,3.5673
69,18.4628
70,6.4659
71,6.4787
72,20.5222
73,18.6197
74,27.3987
75,19.3044
76,8.0647
77,2.9839
78,4.4465
79,19.8622
80,5.6762
81,23.7968
82,25.4248
83,10.3317
84,24.1345
85,27.1037
86,19.2493
87,21.9602
88,18.1423
89,16.7617
90,26.6329
91,15.4727
92,4.2524
93,17.0725
94,14.4741
95,22.9584
96,4.7213
97,10.7548
98,5.7152
99,10.5215
100,10.1206
101,16.0632
102,20.982
103,17.698
104,11.464
105,17.5807
106,5.0887
107,6.1238
108,10.2818
109,14.2443
110,5.1246
111,10.5746
112,14.5869
113,6.0979
114,7.8078
115,23.9405
116,14.0305
117,16.376
118,21.437
119,10.994
120,6.6559
121,9.986
122,3.2459
123,11.3694
124,7.3676
125,10.646
126,6.9897
127,16.6754
128,11.0083
129,14.7409
130,7.3172
131,9.9433
132,8.0821
133,11.5605
134,11.059
135,9.4861
136,12.1583
137,13.9676
138,5.4412
139,8.2947
140,6.5237
141,7.945
142,11.1235
143,8.7186
144,16.4163
145,20.3671
146,9.38
147,10.8362
148,8.3567
149,3.1883
150,13.7026
151,8.6751
152,13.3937
153,12.3912
154,12.1664
155,9.7845
156,13.8883
157,7.7027
158,4.2062
159,2.4009
160,1.7735
161,12.0338
162,90.0186
