Node,WIC
0,3.9413
1,6.7002
2,5.6052
3,3.8913
4,2.8418
5,1.9112
6,1.9665
7,2.8185
8,2.8782
9,5.2125
10,3.879
11,3.8208
12,4.538
13,4.9476
14,2.9391
15,6.0982
16,3.7157
17,2.7593
18,4.2686
19,3.4929
20,8.5303
21,5.8785
22,3.9336
23,3.96
24,2.9444
25,4.4987
26,9.454
27,5.0778
28,3.6497
29,2.9502
30,1.9992
31,2.9726
644,3.5132
645,3.4985
646,2.7747
648,2.7163
676,5.0911
647,6.3392
661,1.8986
662,1.9271
663,1.8974
664,1.99
652,4.6332
665,4.9052
666,4.5085
667,3.6477
668,7.8364
669,6.1942
670,7.5064
671,4.9945
757,2.952
758,1.932
759,2.9057
690,10.7734
701,2.7325
702,2.7289
749,3.7807
760,4.0275
761,2.9337
762,2.9786
763,1.986
764,1.922
765,1.9442
766,4.4726
767,2.7005
768,1.8955
689,2.8914
818,2.9537
32,4.7559
33,3.8159
34,2.897
35,2.8645
36,3.9485
37,5.4507
38,2.9781
39,9.2958
40,3.9344
41,1.9742
42,2.7316
43,3.6206
44,2.9253
45,3.8453
46,1.952
47,6.704
48,2.8687
49,3.8332
50,2.7222
51,2.8446
52,4.9307
53,2.8858
54,7.4465
55,1.9457
3675,3.8385
4105,3.9417
3880,3.8988
4062,1.9497
3692,4.9129
3704,2.9854
3705,1.944
3706,1.9626
3754,7.8538
3755,2.9902
3684,4.5278
3756,4.7585
3659,2.9992
3676,3.8918
3677,2.9217
3757,3.9536
3925,5.6912
3811,2.8485
3926,1.9527
3927,3.7253
3928,3.7074
3929,3.7383
56,1.9742
57,3.97
58,3.9192
59,8.4595
60,5.0019
61,1.9853
62,2.8563
63,2.9008
64,2.9072
65,2.9212
66,2.924
67,2.9345
68,2.8521
3884,10.8831
3885,2.9626
3886,4.9325
3797,2.9115
69,2.0074
70,4.0063
71,1.9923
72,2.9733
73,3.0063
1369,2.9476
74,1.941
75,8.4633
76,2.8404
77,2.8131
78,5.9866
79,2.9382
80,1.9342
81,3.8129
82,2.8629
83,3.672
84,2.8877
85,4.8039
86,2.5502
87,2.5568
88,2.9046
89,3.7791
90,1.9801
91,3.872
92,2.9292
331,4.5607
332,4.288
334,2.6054
177,7.6652
172,4.8215
180,1.9218
176,3.9561
399,1.9569
93,2.9582
94,5.9402
95,2.9556
96,2.0061
97,5.987
98,1.9646
99,3.9397
100,3.9625
101,1.9909
102,2.0386
103,4.0006
104,2.9578
105,3.9078
106,3.9479
107,2.9642
108,3.9585
159,2.9709
160,1.9852
161,2.9617
162,5.5601
163,1.9546
164,2.9379
165,1.9741
181,3.0525
173,3.908
183,4.7419
109,2.0012
110,3.9496
111,2.0276
112,6.7122
113,2.8656
114,3.8674
115,2.8387
116,7.5115
117,2.9728
118,3.7956
119,2.8905
120,1.9638
121,3.9103
122,9.6828
123,5.7991
124,2.8966
125,6.5007
126,3.9215
127,5.2361
128,3.8167
129,2.8711
130,2.013
131,3.8866
132,2.9911
133,1.9536
134,2.8982
135,3.0565
136,2.9498
137,4.7428
138,8.8753
139,5.6541
140,2.9349
141,1.9637
142,7.2358
143,4.8347
144,3.9189
145,2.9474
146,2.8692
147,4.4497
148,3.6199
156,5.6452
233,4.9348
226,2.9001
229,2.892
188,7.6836
195,2.9863
230,2.9999
231,3.9353
262,3.9585
346,5.4848
153,3.8843
386,3.7621
404,2.0219
405,1.9808
406,1.9619
407,1.9331
408,3.8662
370,1.9553
371,1.9349
328,4.7681
223,2.8163
224,3.585
225,1.8748
266,2.9405
293,2.9534
294,2.9894
295,3.9888
438,2.954
149,7.4597
154,1.8874
150,2.9086
151,3.8545
152,1.9522
155,4.9127
157,4.9332
158,3.8904
296,2.9817
297,1.9904
232,2.9562
239,3.9893
246,3.038
247,2.9394
259,5.9155
290,4.8757
166,3.9991
167,2.9735
216,4.6062
218,2.8016
221,2.9083
398,2.9543
168,2.9833
170,2.9781
338,2.949
169,2.9546
171,3.9325
174,7.7326
175,4.8352
228,3.0012
220,2.9139
240,7.6206
243,4.8351
249,2.9801
291,1.9442
178,3.0254
179,3.8574
269,2.958
277,4.0373
300,1.8946
301,1.9707
302,5.4173
395,3.9247
182,3.0028
184,2.9459
244,2.8606
227,2.9947
185,1.999
186,3.8932
187,7.6368
189,1.9789
190,2.9031
191,18.3764
192,5.7615
193,1.9747
194,6.58
196,1.9446
197,4.9657
312,2.9649
313,1.9089
314,4.6967
315,4.8975
316,5.6143
317,3.9665
318,2.927
319,2.9773
320,3.9905
321,4.747
322,3.9731
323,4.012
324,1.9546
325,1.9896
326,1.9878
327,1.9215
329,3.6711
330,2.9273
199,6.4747
204,2.9327
201,2.8736
205,1.9229
206,1.94
339,1.9594
340,2.0082
198,1.9789
200,3.8208
202,2.914
203,4.6179
207,3.8189
208,4.6534
209,2.9625
210,3.8133
211,5.5028
212,3.7139
213,2.9258
214,2.9283
337,3.5805
389,2.8772
390,2.807
825,4.9854
820,3.8149
400,3.8508
401,5.8662
402,2.8733
823,3.6741
833,2.755
215,2.8797
217,2.9502
219,2.843
222,2.9319
235,5.2679
236,2.7604
248,2.9844
411,2.0065
234,1.9334
309,1.9966
310,2.0024
311,1.9343
251,3.9277
253,6.7923
254,7.6024
237,2.9731
238,2.9462
241,3.007
242,2.9006
245,1.9314
270,2.8612
250,1.9724
252,2.9591
255,3.003
256,1.938
257,1.9538
258,1.9866
260,6.9585
261,2.0071
263,10.7319
264,5.5865
265,2.9155
267,2.0084
268,2.0155
271,2.0011
272,1.9532
273,1.985
274,3.9401
275,5.8894
276,1.9804
278,5.6312
279,3.8326
280,1.9406
281,3.0325
282,2.0366
283,2.032
284,1.9727
285,2.9965
286,9.0711
287,2.8126
288,2.7462
289,2.921
292,3.7982
341,2.9168
342,2.9744
343,2.9285
344,2.9922
345,2.9457
303,3.8548
352,5.2397
353,2.9397
354,3.6589
355,3.7468
356,2.8541
357,3.9324
358,4.5725
359,3.6041
360,4.6482
361,3.7134
362,2.7371
363,4.1731
364,4.1659
365,4.0826
366,4.0683
367,3.6571
368,4.2178
369,6.5197
298,3.8519
307,2.9195
308,3.9069
336,2.8784
439,1.9649
299,1.9791
377,4.3748
304,6.0655
305,2.8167
306,3.4873
412,2.9293
413,3.8731
441,3.7178
442,11.1525
443,3.6129
444,4.7121
383,3.8951
391,4.8403
394,2.991
417,5.6614
966,2.7786
967,2.7191
1018,3.9232
1019,2.8501
1020,2.8755
1021,3.7578
1022,3.5513
1023,2.6953
1024,4.9601
1025,1.9775
1026,4.6452
1027,5.729
827,3.9729
425,2.9722
419,4.7457
1028,2.0323
1029,2.0272
1030,1.9603
1031,1.9969
1049,4.3327
1050,14.4595
333,3.5937
335,2.8648
384,3.5986
385,3.5515
347,4.7503
348,3.003
349,2.974
350,3.0339
351,3.9991
372,7.2461
373,5.7344
414,4.7612
1517,3.9107
2821,4.9955
3988,5.9795
4932,4.9862
1503,3.6667
1504,3.6212
1547,1.9397
1502,5.2898
1507,2.8798
1509,3.565
1549,3.9861
1550,4.8502
1501,1.8476
1495,4.6664
1511,1.9578
415,3.8897
1512,1.9073
1513,3.426
1514,4.0291
1515,2.544
1516,3.9252
1493,4.2756
752,6.631
755,3.5942
2715,1.8872
2716,1.9322
418,3.6899
420,3.6299
421,4.5502
422,2.9289
423,1.9803
424,1.9313
374,2.8677
375,3.6112
376,3.8657
378,2.7709
379,3.8993
380,1.9636
381,2.8215
382,2.9469
437,2.9737
387,2.8262
388,3.8928
426,3.7916
427,2.9409
403,4.3396
392,2.9471
393,2.9341
396,2.9057
397,1.9833
829,1.9227
830,2.7628
831,2.6681
832,2.7223
838,2.7107
409,6.4435
410,2.8441
432,4.7294
433,3.8613
434,3.5753
435,6.1807
436,1.9216
416,1.9916
430,4.7455
431,2.8577
870,6.2279
947,7.3612
1082,5.8251
1083,2.9288
835,7.0183
1084,5.2629
1448,1.9624
4515,2.9662
428,6.6278
429,3.9205
839,4.9822
840,3.8897
