Node,WIC
0,59.0977
1,34.9001
2,3.6523
3,80.6573
4,17.3293
5,32.0308
6,13.9378
7,22.3694
8,17.1685
9,77.1746
10,63.0805
11,4.7964
12,16.1971
13,9.4345
14,11.6559
15,2.5698
16,5.7408
17,8.0465
18,49.2929
19,17.2688
20,31.356
21,17.8163
22,209.698
23,7.1982
24,33.4047
25,2.8526
26,2.8831
27,11.4114
28,29.4573
29,2.7088
30,4.8568
31,10.7444
32,4.2749
33,53.9294
34,15.8328
35,15.6085
36,10.4226
37,13.9335
38,8.3388
39,12.1756
40,34.4662
41,49.719
42,31.5143
43,26.4677
44,5.8941
45,14.3981
46,77.6681
47,17.5254
48,27.9367
49,199.2756
50,26.1721
51,79.372
52,7.6985
53,28.0853
54,21.3439
55,20.4301
56,20.6042
57,2.7498
58,266.2682
59,59.233
60,16.6311
61,2.0214
62,27.1441
63,5.8591
64,8.0107
65,21.8187
66,26.1693
67,52.0429
68,10.3139
69,8.5818
70,22.8312
71,32.4219
72,38.1661
73,75.1924
74,18.7219
75,17.4779
76,4.3095
77,44.1971
78,233.0251
79,46.324
80,3.7714
81,22.0253
82,14.4202
83,71.4961
84,4.5442
85,3.7633
86,38.0849
87,4.752
88,22.1956
89,4.2553
90,25.9723
91,8.5523
92,10.4511
93,32.3065
94,4.2125
95,6.2819
96,11.9293
98,46.9115
108,5.9718
109,7.9949
110,140.8194
111,24.484
112,181.5326
113,45.1182
114,18.2102
115,35.381
116,18.2675
117,54.1013
118,23.6668
119,33.2634
120,16.3574
121,22.3074
122,28.7252
123,7.54
124,17.3809
125,2.7425
126,16.6792
127,9.0453
128,21.3239
129,12.1137
130,37.1926
131,13.5917
132,31.4708
133,49.7841
104,42.7021
134,45.1568
135,8.9826
136,2.7428
137,14.9182
138,60.7873
139,18.3215
140,32.6856
141,9.486
142,26.3394
143,112.7013
144,3.5635
145,9.4665
146,13.2173
147,24.4399
148,30.9312
149,13.5824
150,28.2161
151,29.1647
152,8.2063
153,13.9339
154,4.2593
155,13.7511
156,7.9114
157,20.4094
158,12.5311
159,17.5093
160,48.1645
161,27.4203
162,11.3239
163,6.3181
164,7.1853
165,6.7499
166,4.7319
167,12.3981
168,3.4593
169,40.4886
170,16.3064
171,4.4149
172,49.2528
173,5.2215
174,7.4566
175,26.7325
176,35.7709
177,4.9758
178,13.8228
179,21.4779
180,15.4603
181,2.0881
182,3.8033
183,2.6263
184,23.2459
185,1.6741
186,2.8385
187,5.2077
188,7.4605
694,63.4747
672,20.4749
695,18.9397
696,13.9204
697,2.9197
698,27.3282
699,25.1238
700,12.9536
701,7.1519
684,14.1581
702,19.7683
703,20.9646
704,5.654
705,26.2423
706,9.5093
707,5.8349
808,4.1453
809,14.311
810,23.8215
811,29.438
812,9.8099
813,9.6255
814,11.3072
760,17.8722
815,15.344
816,5.8182
394,5.8237
817,25.0003
623,27.2776
818,2.9356
819,8.2738
820,6.9742
821,2.7102
822,3.7118
823,8.5177
824,6.2464
825,33.1315
826,29.5559
827,7.6412
828,3.5353
829,6.7748
830,8.4561
831,4.3764
832,2.1893
833,6.8523
264,15.2724
548,7.2252
708,68.757
834,15.7813
835,11.786
836,10.7579
837,4.3113
838,2.785
839,10.4889
840,2.658
841,5.2889
842,3.8902
1009,6.6517
575,22.7579
1010,2.8033
1011,25.7683
1012,17.6573
246,59.7893
735,6.904
1013,3.6646
326,18.3091
1014,41.0788
918,8.2121
1015,12.9325
905,18.3414
1016,8.8784
1017,6.4638
1018,3.1202
1019,44.7337
1020,1.6771
1021,12.9819
1022,3.6653
234,40.5178
1409,5.0782
1410,6.4384
1411,12.5936
979,8.3898
238,9.8816
1412,38.9769
787,61.3703
1238,12.1861
910,14.7882
1413,7.3952
1414,4.5134
1415,45.5683
1416,2.8522
1288,3.4819
230,26.6121
258,19.6123
267,31.5391
541,6.2209
542,35.7433
543,12.5441
544,5.8046
545,11.7319
546,30.1671
547,36.8041
549,15.5271
550,5.6086
551,9.2102
552,19.0143
553,9.5116
554,17.3706
269,27.7991
555,5.3951
556,18.3418
557,19.9087
558,3.8769
559,13.2374
560,5.1438
561,5.5556
562,7.1728
563,8.2937
564,76.097
565,7.3126
566,6.6309
567,13.8729
568,11.0656
403,26.412
569,20.5215
570,14.023
307,15.5595
571,3.1394
572,11.3106
573,8.5071
292,10.8577
574,2.8306
329,11.0654
576,16.9098
577,26.7769
578,15.8642
579,19.4062
580,5.5836
581,2.7795
582,21.6783
348,44.6462
583,24.116
584,2.8172
585,18.3004
586,40.0065
493,9.2188
587,25.0834
588,5.4161
589,4.8831
590,3.524
591,12.043
592,41.1885
593,8.8281
382,35.0302
594,30.4595
595,6.7183
596,11.8638
597,14.633
439,6.3025
598,4.2871
599,41.9995
600,1.7627
535,2.7558
601,6.6046
631,8.1368
428,4.7021
371,16.7451
772,15.4443
638,24.0843
773,2.7539
774,10.7274
390,34.1898
289,36.2803
775,22.3172
776,11.2056
777,3.8299
367,3.8828
778,10.2275
308,19.9585
779,2.8951
780,4.8748
781,16.9785
782,2.9352
783,19.429
784,5.7648
215,32.3056
785,2.9147
271,47.1164
786,5.6501
350,39.7055
788,4.3197
789,10.5452
639,4.3468
790,3.0235
791,7.895
792,29.4163
469,27.2258
793,5.478
794,2.6146
795,4.0171
796,9.0075
797,5.8837
798,34.0034
799,3.6081
800,9.2518
801,9.1821
802,33.264
803,10.2453
656,20.5436
804,4.0007
805,11.3271
806,11.6707
807,4.3467
843,56.0189
1345,3.0861
713,28.7475
1600,7.3027
1601,4.5504
1602,3.9546
313,9.1273
1603,5.5917
1604,18.6237
690,54.0319
1191,54.5478
1605,6.4914
1606,5.407
1607,9.7848
291,22.704
1608,21.4265
1121,14.0133
1593,9.0489
988,16.6705
736,8.6961
745,17.2152
233,264.6967
620,24.1328
1765,6.2983
1766,9.7366
610,5.4757
1767,8.6335
710,111.4066
1768,29.2061
1527,19.5318
846,30.6987
677,17.4863
847,71.4003
711,17.8836
728,26.2375
1834,21.8702
1894,6.6675
1895,13.4706
1896,2.6808
733,15.8865
1996,7.4706
1997,3.8678
463,5.7962
494,5.6151
1998,5.2822
499,13.1419
1999,21.7829
514,8.859
2000,20.0027
502,18.3971
2001,3.7775
2002,36.5378
2003,14.4304
2004,4.8528
1186,61.5989
2005,3.0584
1470,17.5878
203,18.0902
666,24.573
2006,9.7766
2007,3.8927
2008,1.978
1483,31.7627
2009,26.1198
2010,15.2316
1757,7.543
2011,9.7061
